Polling Booth Number,Polling Booth Name,Winner- 2019,Margin %,Margin,Total Voters,BJP- Votes,BJP- % votes,INC- Votes,INC- % Votes,Adv. Chandrashekar Dongre,Topale Rupachand,Rahul Parasanji Tayde,Sanjay Ambadas Wankhede,Avinash Suresh Badhiye,Deepak M. Madavi,Dilip Shamraoji Potfode,Vilas Vinayakrao Kailuke,NOTA,No of Votes got by 3rd parties,BJP booth strength,INC booth strength
124,Khadka,INC,6.100795756,23,377,154,40.84880637,177,46.94960212,15,10,0,0,0,0,15,1,5,41,WEAK,WEAK
125,Jalgaon J. P. Prath. Shala Jalaganv Kho. Kr. 1,BJP,18.20615797,136,747,436,58.36680054,300,40.16064257,6,1,0,0,1,1,0,2,0,11,MODERATE,WEAK
126,Jalgaon J. P. Prath. Shala Jalaganv Kho. Kr. 1 Navin Imara,INC,5.061349693,33,652,288,44.17177914,321,49.23312883,9,15,1,1,0,9,1,1,6,37,WEAK,WEAK
127,Jalgaon J. P. Prath. Shala Jalaganv (karyalay ),BJP,23.20954907,175,754,450,59.68169761,275,36.47214854,2,4,1,0,0,13,3,1,5,24,MODERATE,WEAK
128,Paratoda,INC,30.47619048,96,315,83,26.34920635,179,56.82539683,6,19,0,0,1,25,1,0,1,52,WEAK,MODERATE
129,Vardh J. P. Uchch Prath. Shala Vardh Kho. Kr. 1,INC,4.481132075,38,848,338,39.85849057,376,44.33962264,31,6,0,2,4,74,3,1,13,121,WEAK,WEAK
130,Maneri,INC,4.173106646,27,647,293,45.28593509,320,49.45904173,6,5,0,0,0,11,4,1,7,27,WEAK,WEAK
131,Vardh J. P. Uchch Prath. Shala Vardh Shale Magachi Kho.,BJP,9.815242494,85,866,441,50.92378753,356,41.10854503,14,7,3,3,3,30,2,1,6,63,MODERATE,WEAK
132,Mandala,INC,18.75,69,368,113,30.70652174,182,49.45652174,3,2,1,0,0,64,2,0,1,72,WEAK,WEAK
133,Malegaon (kali ),BJP,9.506398537,52,547,289,52.83363803,237,43.32723949,2,10,1,0,0,8,0,0,0,21,MODERATE,WEAK
134,Narasingapur,INC,2.352941176,10,425,189,44.47058824,199,46.82352941,1,1,0,0,0,22,4,0,9,28,WEAK,WEAK
135,Chichonli (pa),INC,14.84814398,132,889,349,39.2575928,481,54.10573678,7,35,1,1,0,12,0,1,2,57,WEAK,MODERATE
136,Selagaon (umate ),BJP,8.647450111,39,451,228,50.55432373,189,41.90687361,3,5,0,0,1,20,0,1,4,30,MODERATE,WEAK
137,Junapani,BJP,29.42386831,143,486,309,63.58024691,166,34.1563786,1,4,0,0,2,1,3,0,0,11,MODERATE,WEAK
138,BHALEWADI,BJP,5.23255814,18,344,176,51.1627907,158,45.93023256,1,5,1,1,0,0,1,1,0,10,MODERATE,WEAK
139,Gavandi Booth No1,BJP,0.761904762,4,525,267,50.85714286,263,50.0952381,2,8,0,0,2,6,2,1,1,21,MODERATE,MODERATE
140,Gavandi Booth No2,BJP,19.12878788,101,528,302,57.1969697,201,38.06818182,2,4,1,0,9,6,1,0,2,23,MODERATE,WEAK
141,"MORSHI , SARSI (UNHABITATED)",BJP,4.506437768,21,466,238,51.07296137,217,46.56652361,1,2,0,0,0,4,0,0,4,7,MODERATE,WEAK
142,KHARASKHANDA,BJP,35.59782609,131,368,235,63.85869565,104,28.26086957,7,11,3,0,1,1,2,1,3,26,MODERATE,WEAK
143,Savali (khu. ) Booth No1,INC,6.306306306,21,333,130,39.03903904,151,45.34534535,4,1,0,0,0,43,1,0,3,49,WEAK,WEAK
144,Savali (khu. ) Booth No2,BJP,1.63599182,8,489,230,47.03476483,222,45.39877301,3,7,1,0,0,13,4,2,7,30,WEAK,WEAK
145,Agargaon ,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,WEAK,WEAK
146,Kundi Booth No1,BJP,13.02681992,68,522,279,53.44827586,211,40.42145594,8,7,1,0,1,13,0,0,2,30,MODERATE,WEAK
147,Kundi Booth No2,INC,19.79591837,97,490,150,30.6122449,247,50.40816327,17,11,1,0,0,61,0,2,1,92,WEAK,MODERATE
148,Dhavasa (bu ),BJP,11.62162162,86,740,394,53.24324324,308,41.62162162,8,2,2,1,1,4,9,4,7,31,MODERATE,WEAK
149,Saval,BJP,20.82616179,121,581,283,48.7091222,162,27.88296041,1,5,51,3,0,62,3,4,7,129,WEAK,WEAK
150,Umari Booth No1,INC,10.84337349,45,415,178,42.89156627,223,53.73493976,2,2,0,0,0,1,4,0,5,9,WEAK,MODERATE
151,Umari Booth No2,INC,10.77981651,47,436,186,42.66055046,233,53.44036697,2,5,0,0,4,3,1,1,1,16,WEAK,MODERATE
152,Yengaon,BJP,26.66666667,152,570,354,62.10526316,202,35.43859649,5,4,0,0,0,1,0,2,2,12,MODERATE,WEAK
153,Pipari Booth No1,BJP,1.030927835,8,776,384,49.48453608,376,48.45360825,6,3,1,0,0,2,0,0,4,12,WEAK,WEAK
154,Garapit,BJP,10.02331002,43,429,178,41.49184149,135,31.46853147,2,7,0,1,0,100,0,1,5,111,WEAK,WEAK
155,Dhamakund,INC,6.302521008,15,238,89,37.39495798,104,43.69747899,1,2,0,0,0,36,1,0,5,40,WEAK,WEAK
156,Shirapur Booth No1,BJP,11.49425287,90,783,424,54.15070243,334,42.65644955,10,7,0,4,0,0,2,0,2,23,MODERATE,WEAK
157,Shirapur Booth No2,INC,6.74002751,49,727,307,42.22833563,356,48.96836314,41,12,1,0,0,1,2,1,6,58,WEAK,WEAK
158,Takarkheda,INC,6.605019815,50,757,316,41.74372523,366,48.34874505,46,15,3,0,0,1,0,3,7,68,WEAK,WEAK
159,Ladegaon,BJP,58.64197531,285,486,373,76.74897119,88,18.10699588,3,5,1,3,0,10,1,1,1,24,STRONG,WEAK
160,Nandapur Booth No1,INC,27.05167173,178,658,227,34.49848024,405,61.55015198,6,7,1,0,0,6,2,0,4,22,WEAK,MODERATE
